Date,Price,Open,High,Low,Vol.,Change %
29-Oct-19,"11,893.54","11,749.19","11,916.18","11,730.79",77.91M,1.82%
25-Oct-19,"11,681.39","11,735.07","11,744.13","11,591.35",76.25M,-0.05%
24-Oct-19,"11,687.40","11,761.87","11,790.42","11,638.70",62.30M,-0.28%
23-Oct-19,"11,720.75","11,734.57","11,765.45","11,668.29",68.25M,0.14%
22-Oct-19,"11,704.58","11,765.13","11,822.03","11,692.11",85.55M,-0.55%
18-Oct-19,"11,769.28","11,692.62","11,791.05","11,653.56",83.76M,0.76%
17-Oct-19,"11,680.09","11,554.09","11,693.50","11,527.76",79.44M,1.21%
16-Oct-19,"11,539.89","11,539.65","11,559.68","11,488.72",57.20M,0.36%
15-Oct-19,"11,498.81","11,435.08","11,533.76","11,416.03",60.76M,0.79%
14-Oct-19,"11,409.15","11,403.99","11,491.06","11,369.34",55.26M,0.28%
11-Oct-19,"11,376.73","11,341.78","11,433.22","11,262.00",72.81M,0.59%
10-Oct-19,"11,309.46","11,388.05","11,388.05","11,287.78",53.98M,-0.77%
9-Oct-19,"11,396.81","11,234.48","11,404.09","11,173.35",60.05M,1.65%
7-Oct-19,"11,212.00","11,314.36","11,316.47","11,199.26",69.13M,-0.53%
4-Oct-19,"11,272.27","11,494.73","11,496.57","11,261.02",75.64M,-1.28%
3-Oct-19,"11,418.39","11,427.30","11,477.22","11,362.82",89.56M,-0.41%
1-Oct-19,"11,465.32","11,632.62","11,664.91","11,347.60",113.69M,-1.00%
30-Sep-19,"11,580.94","11,658.07","11,658.07","11,499.88",77.87M,-0.54%
27-Sep-19,"11,643.87","11,714.89","11,731.53","11,636.06",63.17M,-0.55%
26-Sep-19,"11,708.22","11,605.46","11,743.71","11,599.77",61.71M,1.15%
25-Sep-19,"11,574.79","11,726.97","11,726.97","11,551.40",60.75M,-1.34%
24-Sep-19,"11,732.28","11,767.95","11,800.04","11,682.21",58.33M,-0.14%
23-Sep-19,"11,749.21","11,660.08","11,843.65","11,637.92",110.97M,2.77%
20-Sep-19,"11,433.03","10,866.18","11,521.15","10,821.01",120.48M,5.53%
