Date,Price,Open,High,Low,Vol.,Change %
11-May-20,"1,081.61","1,087.24","1,091.44","1,071.69",-,-0.26%
8-May-20,"1,084.47","1,079.70","1,084.70","1,079.70",-,0.71%
7-May-20,"1,076.80","1,068.61","1,079.39","1,068.61",-,0.82%
6-May-20,"1,068.01","1,073.56","1,077.12","1,066.10",-,-0.37%
5-May-20,"1,071.94","1,056.44","1,072.29","1,056.44",-,2.12%
4-May-20,"1,049.65","1,069.06","1,069.06","1,045.50",-,-2.37%
1-May-20,"1,075.12","1,079.53","1,079.53","1,074.17",-,-0.82%
30-Apr-20,"1,084.01","1,111.14","1,114.75","1,081.96",-,-2.28%
29-Apr-20,"1,109.25","1,095.05","1,110.47","1,089.69",-,1.38%
28-Apr-20,"1,094.12","1,077.40","1,100.42","1,076.44",-,1.58%
27-Apr-20,"1,077.06","1,064.27","1,078.37","1,064.27",-,1.74%
24-Apr-20,"1,058.67","1,065.87","1,070.54","1,055.60",-,-1.09%
23-Apr-20,"1,070.29","1,066.07","1,078.26","1,057.25",-,0.64%
22-Apr-20,"1,063.45","1,046.20","1,063.79","1,046.20",-,1.94%
21-Apr-20,"1,043.23","1,076.90","1,076.90","1,043.23",-,-3.72%
20-Apr-20,"1,083.55","1,074.86","1,083.55","1,059.86",-,0.95%
17-Apr-20,"1,073.38","1,058.64","1,082.91","1,058.64",-,2.38%
16-Apr-20,"1,048.43","1,045.04","1,053.58","1,041.68",-,0.80%
15-Apr-20,"1,040.06","1,071.08","1,071.85","1,036.63",-,-3.04%
14-Apr-20,"1,072.64","1,071.01","1,082.35","1,070.62",-,0.61%
9-Apr-20,"1,066.16","1,056.97","1,070.35","1,047.50",-,1.35%
8-Apr-20,"1,052.01","1,051.36","1,052.01","1,035.20",-,-0.21%
7-Apr-20,"1,054.24","1,048.48","1,072.80","1,043.30",-,1.15%
6-Apr-20,"1,042.28","1,017.75","1,044.59","1,017.75",-,3.47%
3-Apr-20,"1,007.31","1,012.78","1,016.20","1,004.06",-,-0.57%
2-Apr-20,"1,013.04","1,008.20","1,019.54",991.62,-,0.81%
1-Apr-20,"1,004.88","1,021.10","1,021.10",991.84,-,-2.68%
31-Mar-20,"1,032.57","1,023.11","1,038.32","1,011.91",-,1.35%
30-Mar-20,"1,018.80","1,000.97","1,018.80",977.13,-,1.87%
27-Mar-20,"1,000.13","1,036.10","1,036.10",985.77,-,-3.39%
26-Mar-20,"1,035.25","1,013.52","1,035.25",987.27,-,2.13%
25-Mar-20,"1,013.69",985.17,"1,028.13",972.89,-,3.10%
24-Mar-20,983.22,909.91,983.22,909.91,-,8.33%
23-Mar-20,907.63,943.02,950.19,899.22,-,-4.15%
20-Mar-20,946.97,934.67,979.29,934.67,-,1.49%
19-Mar-20,933.06,893.96,935.11,890.9,-,3.57%
18-Mar-20,900.9,940.75,940.75,888.83,-,-4.26%
17-Mar-20,941.03,911.58,946.32,885.6,-,3.02%
16-Mar-20,913.4,945.8,945.8,859.57,-,-3.92%
13-Mar-20,950.63,936.2,"1,019.42",935.75,-,1.58%
12-Mar-20,935.87,"1,049.37","1,049.37",932.75,-,-11.16%
11-Mar-20,"1,053.42","1,057.07","1,082.95","1,050.58",-,-0.35%
10-Mar-20,"1,057.12","1,068.72","1,113.88","1,052.55",-,-1.23%
9-Mar-20,"1,070.32","1,147.73","1,147.73","1,060.69",-,-7.51%
6-Mar-20,"1,157.25","1,203.96","1,203.96","1,150.09",-,-3.93%
5-Mar-20,"1,204.54","1,221.25","1,227.99","1,194.75",-,-1.28%
4-Mar-20,"1,220.21","1,198.66","1,226.18","1,194.03",-,1.74%
3-Mar-20,"1,199.36","1,187.29","1,223.49","1,187.29",-,1.14%
2-Mar-20,"1,185.81","1,181.98","1,210.97","1,163.40",-,0.24%
28-Feb-20,"1,182.99","1,227.33","1,227.33","1,168.45",-,-3.80%
27-Feb-20,"1,229.67","1,272.86","1,272.86","1,216.43",-,-3.74%
26-Feb-20,"1,277.41","1,275.32","1,280.71","1,242.05",-,0.07%
25-Feb-20,"1,276.58","1,301.09","1,308.03","1,274.57",-,-1.87%
24-Feb-20,"1,300.86","1,339.70","1,339.70","1,295.80",-,-3.67%
21-Feb-20,"1,350.39","1,357.28","1,359.57","1,343.65",-,-0.51%
20-Feb-20,"1,357.27","1,369.41","1,369.77","1,357.27",-,-1.01%
19-Feb-20,"1,371.16","1,360.34","1,371.51","1,360.34",-,0.83%
18-Feb-20,"1,359.88","1,364.65","1,364.65","1,354.60",-,-0.38%
17-Feb-20,"1,365.00","1,360.38","1,365.86","1,360.38",-,0.41%
14-Feb-20,"1,359.39","1,363.92","1,366.50","1,358.59",-,-0.33%
13-Feb-20,"1,363.83","1,364.13","1,364.13","1,347.79",-,-0.05%
12-Feb-20,"1,364.54","1,357.92","1,364.93","1,357.92",-,0.59%
11-Feb-20,"1,356.57","1,346.34","1,359.08","1,346.34",-,0.78%
10-Feb-20,"1,346.06","1,345.27","1,346.19","1,339.15",-,0.00%
7-Feb-20,"1,346.08","1,349.37","1,349.37","1,341.27",-,-0.22%
6-Feb-20,"1,349.07","1,342.13","1,351.93","1,342.13",-,0.46%
5-Feb-20,"1,342.91","1,328.19","1,344.51","1,323.56",-,1.14%
4-Feb-20,"1,327.74","1,303.32","1,327.74","1,303.32",-,1.72%
3-Feb-20,"1,305.27","1,301.63","1,310.32","1,300.06",-,0.25%
31-Jan-20,"1,302.06","1,318.95","1,323.47","1,301.13",-,-1.19%
30-Jan-20,"1,317.73","1,330.77","1,330.77","1,313.58",-,-1.05%
29-Jan-20,"1,331.65","1,327.21","1,334.31","1,326.61",-,0.38%
28-Jan-20,"1,326.57","1,313.74","1,327.43","1,312.32",-,0.90%
27-Jan-20,"1,314.77","1,345.07","1,345.07","1,312.78",-,-2.34%
24-Jan-20,"1,346.21","1,336.14","1,353.24","1,336.14",-,0.76%
